District,Zone,Season,Salinity_Prone,Iron_Toxicity_Prone,Variety_Code
Killinochchi,Dry Zone,Yala,No,Yes,Bw 372
Batticaloa,Dry Zone,Yala,No,Yes,Bw 367
Gampaha,Wet Zone,Maha,No,No,At 307
Kalutara,Wet Zone,Maha,No,No,Attakkari
Badulla,Intermediate Zone,Yala,No,No,Bg 94-1
Trincomalee,Dry Zone,Maha,No,No,Bg 250
Ampara,Dry Zone,Maha,No,No,At 307
Matara,Wet Zone,Yala,No,No,Attakkari
Kandy,Intermediate Zone,Yala,No,No,Ld 368
Ratnapura,Wet Zone,Annual,No,No,At 303
Ampara,Dry Zone,Maha,No,No,Bg 360
Gampaha,Wet Zone,Yala,No,No,Ld 368
Polonnaruwa,Dry Zone,Maha,Yes,No,Bg 369
Polonnaruwa,Dry Zone,Yala,No,No,Bg 357
Kegalle,Wet Zone,Yala,No,No,Bg 300
Monaragala,Intermediate Zone,Yala,No,No,Bg 366
Monaragala,Intermediate Zone,Maha,No,No,Bg 360
Vavuniya,Dry Zone,Maha,Yes,Yes,Bw 400
Polonnaruwa,Dry Zone,Yala,Yes,No,Bg 310
Trincomalee,Dry Zone,Maha,No,No,Attakkari
Trincomalee,Dry Zone,Yala,No,Yes,Bw 367
Mannar,Dry Zone,Yala,No,No,At 307
Kandy,Intermediate Zone,Yala,No,No,Bg 379-2
Kegalle,Wet Zone,Yala,No,No,Ld 368
Galle,Wet Zone,Maha,No,Yes,Bw 364
Kegalle,Wet Zone,Yala,Yes,No,Bg 310
Badulla,Intermediate Zone,Maha,No,No,Bg 366
Puttalam,Dry Zone,Yala,No,No,Bg 250
Mullaitivu,Dry Zone,Yala,No,Yes,Bw 312
Trincomalee,Dry Zone,Yala,Yes,No,At 354
Galle,Wet Zone,Yala,No,No,Bg 357
Mannar,Dry Zone,Yala,No,No,Bg 357
Ratnapura,Wet Zone,Maha,No,Yes,Bw 364
Kandy,Intermediate Zone,Maha,No,No,Bg 357
Polonnaruwa,Dry Zone,Yala,No,No,Ld 368
Anuradhapura,Dry Zone,Yala,No,No,Bg 374
Puttalam,Dry Zone,Yala,No,Yes,Bw 312
Anuradhapura,Dry Zone,Maha,No,No,Bg 250
Matale,Intermediate Zone,Yala,Yes,Yes,Bw 400
Monaragala,Intermediate Zone,Annual,No,Yes,Bw 312
Hambantota,Dry Zone,Maha,No,No,Bg 357
Polonnaruwa,Dry Zone,Yala,No,No,Bg 300
Matale,Intermediate Zone,Maha,No,No,Bg 357
Matale,Intermediate Zone,Maha,No,No,Bg 250
Kandy,Intermediate Zone,Yala,No,Yes,Bw 312
Ampara,Dry Zone,Maha,No,No,Bg 360
Ampara,Dry Zone,Maha,No,No,Ld 368
Mannar,Dry Zone,Yala,Yes,No,Bg 310
Matara,Wet Zone,Maha,No,No,Bg 300
Kandy,Intermediate Zone,Yala,No,No,Bg 366
Mullaitivu,Dry Zone,Maha,Yes,Yes,Bw 400
Kegalle,Wet Zone,Maha,Yes,Yes,Bw 400
Matara,Wet Zone,Annual,No,No,Ld 368
Anuradhapura,Dry Zone,Maha,No,No,At 307
Galle,Wet Zone,Annual,No,No,Ld 368
Mannar,Dry Zone,Yala,No,No,Bg 359
Polonnaruwa,Dry Zone,Maha,No,Yes,Bw 372
Matara,Wet Zone,Annual,No,No,Bg 250
Kalutara,Wet Zone,Yala,No,No,Bg 300
Monaragala,Intermediate Zone,Maha,No,No,Bg 359
Hambantota,Dry Zone,Yala,No,Yes,Bw 372
Monaragala,Intermediate Zone,Maha,No,No,At 307
Batticaloa,Dry Zone,Maha,Yes,No,At 354
Monaragala,Intermediate Zone,Yala,No,No,Attakkari
Gampaha,Wet Zone,Annual,No,No,Bg 366
Kegalle,Wet Zone,Maha,No,No,Ld 368
Ratnapura,Wet Zone,Maha,No,No,Bg 250
Batticaloa,Dry Zone,Maha,No,No,At 362
Hambantota,Dry Zone,Yala,Yes,No,At 353
Kandy,Intermediate Zone,Maha,No,No,Bg 94-1
Batticaloa,Dry Zone,Yala,No,No,At 307
Kegalle,Wet Zone,Maha,No,No,Bg 379-2
Mannar,Dry Zone,Maha,No,No,At 362
Mannar,Dry Zone,Yala,No,No,Attakkari
Mannar,Dry Zone,Annual,No,No,Ld 368
Matara,Wet Zone,Yala,No,No,Bg 374
Ampara,Dry Zone,Maha,No,No,Bg 374
Batticaloa,Dry Zone,Yala,No,Yes,Bw 372
Monaragala,Intermediate Zone,Maha,No,No,Bg 379-2
Kurunegala,Intermediate Zone,Maha,Yes,No,Bg 310
Kalutara,Wet Zone,Annual,No,No,Bg 374
Polonnaruwa,Dry Zone,Maha,No,No,At 307
Kandy,Intermediate Zone,Yala,Yes,No,At 354
Matara,Wet Zone,Annual,No,No,Bg 374
Mullaitivu,Dry Zone,Yala,No,No,Bg 374
Mannar,Dry Zone,Yala,No,No,Bg 352
Vavuniya,Dry Zone,Yala,No,Yes,Bw 367
Puttalam,Dry Zone,Maha,No,No,Bg 359
Puttalam,Dry Zone,Maha,No,No,At 303
Matale,Intermediate Zone,Yala,No,No,Bg 366
Matale,Intermediate Zone,Maha,No,No,Bg 357
Batticaloa,Dry Zone,Yala,No,No,Bg 379-2
Ampara,Dry Zone,Maha,Yes,No,Bg 310
Killinochchi,Dry Zone,Maha,No,No,Bg 352
Hambantota,Dry Zone,Yala,No,No,At 362
Kandy,Intermediate Zone,Maha,No,No,Bg 374
Polonnaruwa,Dry Zone,Maha,No,Yes,Bw 367
Trincomalee,Dry Zone,Annual,No,Yes,Bw 372
Kurunegala,Intermediate Zone,Yala,No,No,Bg 94-1
Ampara,Dry Zone,Maha,No,No,Bg 360
Ratnapura,Wet Zone,Yala,No,No,Bg 366
Galle,Wet Zone,Maha,Yes,No,Bg 369
Mannar,Dry Zone,Maha,Yes,No,At 353
Matale,Intermediate Zone,Maha,No,No,Bg 352
Kurunegala,Intermediate Zone,Yala,No,No,Bg 94-1
Anuradhapura,Dry Zone,Yala,No,No,Bg 374
Kurunegala,Intermediate Zone,Yala,No,No,At 303
Gampaha,Wet Zone,Maha,No,Yes,Bw 312
